STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,NEW_DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,WESD,WESF,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT09,WT01,WT02,WT06,WT11,WT04,WT08
GHCND:US1NJPS0014,HAWTHORNE 1.0 SSE NJ US,18,40.9436,-74.1523,20160211,2016-02-11,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYSF0041,EAST FARMINGDALE 0.9 W NY US,20.7,40.7279,-73.4341,20160211,2016-02-11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00094741,TETERBORO AIRPORT NJ US,2.7,40.85,-74.06139,20160211,2016-02-11,0,NA,NA,NA,31,18,NA,NA,14.8,270,270,30,38,1316,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJES0018,MAPLEWOOD TWP 0.9 SE NJ US,72.5,40.7237,-74.2598,20160211,2016-02-11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYRL0005,WEST NYACK 1.3 WSW NY US,81.7,41.0835,-73.993,20160211,2016-02-11,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,115.5,41.06694,-73.7075,20160211,2016-02-11,0,NA,NA,NA,30,15,NA,NA,21.3,290,280,36,44.1,1754,NA,1,NA,NA,NA,NA,1
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.63861,-73.76222,20160211,2016-02-11,0,0,0,28,32,20,NA,NA,21.9,290,280,36,46.1,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00289187,WANAQUE RAYMOND DAM NJ US,74.7,41.0444,-74.2933,20160211,2016-02-11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0030,OAKLAND 1.0 ESE NJ US,109.4,41.0253,-74.2236,20160211,2016-02-11,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00066655,PUTNAM LAKE CT US,91.4,41.0825,-73.6386,20160211,2016-02-11,0,0,0,NA,39,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0002,SADDLE BROOK TWP 0.6 E NJ US,16.8,40.9027,-74.0834,20160211,2016-02-11,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0003,TENAFLY 1.3 W NJ US,21.6,40.9147,-73.9775,20160211,2016-02-11,0.02,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMS0049,FLORHAM PARK 0.2 WNW NJ US,62.5,40.778,-74.3992,20160211,2016-02-11,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0069,LONG BRANCH 1.7 SSW NJ US,9.4,40.2754,-74.006,20160211,2016-02-11,0,1.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0062,OLD BRIDGE TWP 5.1 NE NJ US,7.6,40.4562,-74.2413,20160211,2016-02-11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0022,RINGWOOD 3.0 SSE NJ US,185.9,41.0653,-74.2571,20160211,2016-02-11,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0025,BLOOMINGDALE 0.7 SSE NJ US,110.3,41.0202,-74.3289,20160211,2016-02-11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYKN0025,BROOKLYN 3.1 NW NY US,5.5,40.6846,-73.9867,20160211,2016-02-11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00282023,CRANFORD NJ US,22.9,40.66694,-74.32306,20160211,2016-02-11,0,0,0,NA,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00301309,CENTERPORT NY US,9.1,40.8838,-73.3722,20160211,2016-02-11,0,6,0,NA,39,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00281335,CANOE BROOK NJ US,54.9,40.7436,-74.3539,20160211,2016-02-11,0,0,0,NA,40,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0015,NORTH ARLINGTON 0.7 WNW NJ US,17.7,40.7915,-74.1398,20160211,2016-02-11,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0017,GLEN ROCK 0.7 SSE NJ US,28,40.9511,-74.1183,20160211,2016-02-11,0.01,0,0.2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00283704,HARRISON NJ US,7.3,40.7481,-74.152,20160211,2016-02-11,0,0,0,NA,40,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160211,2016-02-11,0,0,0,NA,31,18,NA,NA,10.1,290,290,19.9,36.9,NA,NA,NA,NA,NA,NA,NA,1
GHCND:US1NJMN0051,RUMSON 0.5 NE NJ US,14.9,40.3671,-73.9979,20160211,2016-02-11,0.04,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYQN0002,MIDDLE VILLAGE 0.5 SW NY US,32.3,40.7145,-73.8819,20160211,2016-02-11,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0010,EATONTOWN 1.2 NE NJ US,12.8,40.3034,-74.04,20160211,2016-02-11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYNS0014,LYNBROOK 0.3 NW NY US,7,40.6623,-73.678,20160211,2016-02-11,0.01,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0012,COLTS NECK TWP 2.4 NW NJ US,32.6,40.3204,-74.1927,20160211,2016-02-11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00054743,CALDWELL ESSEX CO AIRPORT NJ US,52.7,40.87639,-74.28306,20160211,2016-02-11,0,NA,NA,NA,30,17,NA,NA,15.2,300,290,28,36.9,1347,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00054787,FARMINGDALE REPUBLIC AIRPORT NY US,24.7,40.73417,-73.41694,20160211,2016-02-11,0,NA,NA,NA,32,18,NA,NA,15.4,300,320,25.9,38,1707,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,149.4,41.0191,-74.2334,20160212,2016-02-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00280907,BOONTON 1 SE NJ US,85.3,40.8917,-74.3962,20160212,2016-02-12,0,0,0,NA,25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,4,40.5554,-74.274,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,25.6,40.9519,-74.1577,20160212,2016-02-12,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,73.8,41.0328,-74.245,20160212,2016-02-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,7.9,40.297,-74.0015,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0006,RED BANK 1.3 NW NJ US,13.4,40.3622,-74.0833,20160212,2016-02-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0045,WOODBRIDGE TWP 1.1 NNE NJ US,21.6,40.5759,-74.2847,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20160212,2016-02-12,0,0,0,22,27,17,NA,NA,11.9,290,310,21.9,32,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0050,WOODBRIDGE TWP 3.0 NNW NJ US,21.9,40.6023,-74.3102,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,2.1,40.6825,-74.16944,20160212,2016-02-12,0,0,0,21,27,15,NA,NA,9.2,280,290,21.9,31.1,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJUN0014,WESTFIELD 0.6 NE NJ US,36.3,40.6588,-74.3358,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYNS0007,FLORAL PARK 0.4 W NY US,24.1,40.723,-73.711,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJUN0010,NEW PROVIDENCE 0.8 ESE NJ US,113.1,40.6945,-74.3898,20160212,2016-02-12,0,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJES0024,CEDAR GROVE TWP 0.4 W NJ US,108.5,40.8557,-74.2356,20160212,2016-02-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0037,GLEN ROCK 0.4 WNW NJ US,27.1,40.9614,-74.1328,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJHD0002,KEARNY 1.7 NW NJ US,29,40.7729,-74.1409,20160212,2016-02-12,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJHD0001,HARRISON 0.3 N NJ US,6.4,40.748,-74.1518,20160212,2016-02-12,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMS0059,MADISON 0.8 WSW NJ US,108.8,40.7524,-74.4297,20160212,2016-02-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0012,LITTLE FALLS TWP 0.5 WNW NJ US,58.5,40.8796,-74.227,20160212,2016-02-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYRC0002,STATEN ISLAND 1.4 SE NY US,21.9,40.5674,-74.1327,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMS0011,BOONTON 0.6 NW NJ US,188.7,40.9096,-74.4141,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYRC0001,STATEN ISLAND 4.5 SSE NY US,10.7,40.5421,-74.1476,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0014,HAWTHORNE 1.0 SSE NJ US,18,40.9436,-74.1523,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYSF0041,EAST FARMINGDALE 0.9 W NY US,20.7,40.7279,-73.4341,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00094741,TETERBORO AIRPORT NJ US,2.7,40.85,-74.06139,20160212,2016-02-12,0,NA,NA,NA,30,14,NA,NA,8.1,290,280,19.9,25.9,2357,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJES0018,MAPLEWOOD TWP 0.9 SE NJ US,72.5,40.7237,-74.2598,20160212,2016-02-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYRL0005,WEST NYACK 1.3 WSW NY US,81.7,41.0835,-73.993,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,115.5,41.06694,-73.7075,20160212,2016-02-12,0,NA,NA,NA,24,12,NA,NA,8.5,300,310,23,33.1,17,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.63861,-73.76222,20160212,2016-02-12,0,0,0,22,26,17,NA,NA,11.9,310,300,25.9,33.1,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00289187,WANAQUE RAYMOND DAM NJ US,74.7,41.0444,-74.2933,20160212,2016-02-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0030,OAKLAND 1.0 ESE NJ US,109.4,41.0253,-74.2236,20160212,2016-02-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00066655,PUTNAM LAKE CT US,91.4,41.0825,-73.6386,20160212,2016-02-12,0,0,0,NA,31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0002,SADDLE BROOK TWP 0.6 E NJ US,16.8,40.9027,-74.0834,20160212,2016-02-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0003,TENAFLY 1.3 W NJ US,21.6,40.9147,-73.9775,20160212,2016-02-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMS0049,FLORHAM PARK 0.2 WNW NJ US,62.5,40.778,-74.3992,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0069,LONG BRANCH 1.7 SSW NJ US,9.4,40.2754,-74.006,20160212,2016-02-12,0,1.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0062,OLD BRIDGE TWP 5.1 NE NJ US,7.6,40.4562,-74.2413,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0022,RINGWOOD 3.0 SSE NJ US,185.9,41.0653,-74.2571,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0025,BLOOMINGDALE 0.7 SSE NJ US,110.3,41.0202,-74.3289,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYKN0025,BROOKLYN 3.1 NW NY US,5.5,40.6846,-73.9867,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00282023,CRANFORD NJ US,22.9,40.66694,-74.32306,20160212,2016-02-12,0,0,0,NA,33,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00301309,CENTERPORT NY US,9.1,40.8838,-73.3722,20160212,2016-02-12,0,5,0,NA,23,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00281335,CANOE BROOK NJ US,54.9,40.7436,-74.3539,20160212,2016-02-12,0,0,0,NA,27,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0015,NORTH ARLINGTON 0.7 WNW NJ US,17.7,40.7915,-74.1398,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0017,GLEN ROCK 0.7 SSE NJ US,28,40.9511,-74.1183,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00283704,HARRISON NJ US,7.3,40.7481,-74.152,20160212,2016-02-12,0,0,0,NA,30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160212,2016-02-12,0,0,0,NA,27,15,NA,NA,6.7,290,300,15,27.1,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYQN0002,MIDDLE VILLAGE 0.5 SW NY US,32.3,40.7145,-73.8819,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0010,EATONTOWN 1.2 NE NJ US,12.8,40.3034,-74.04,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYNS0014,LYNBROOK 0.3 NW NY US,7,40.6623,-73.678,20160212,2016-02-12,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0012,COLTS NECK TWP 2.4 NW NJ US,32.6,40.3204,-74.1927,20160212,2016-02-12,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00054743,CALDWELL ESSEX CO AIRPORT NJ US,52.7,40.87639,-74.28306,20160212,2016-02-12,0,NA,NA,NA,26,13,NA,NA,6.3,300,280,16.1,21,52,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00054787,FARMINGDALE REPUBLIC AIRPORT NY US,24.7,40.73417,-73.41694,20160212,2016-02-12,0,NA,NA,NA,26,16,NA,NA,8.1,300,300,19.9,25.9,1,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,149.4,41.0191,-74.2334,20160213,2016-02-13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USC00280907,BOONTON 1 SE NJ US,85.3,40.8917,-74.3962,20160213,2016-02-13,0,0,0,NA,25,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,4,40.5554,-74.274,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,25.6,40.9519,-74.1577,20160213,2016-02-13,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,73.8,41.0328,-74.245,20160213,2016-02-13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,7.9,40.297,-74.0015,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMN0006,RED BANK 1.3 NW NJ US,13.4,40.3622,-74.0833,20160213,2016-02-13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20160213,2016-02-13,0,0,0,22,24,8,NA,NA,22.8,310,310,36,48.1,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJUN0017,CRANFORD TWP 1.1 NNW NJ US,21.9,40.6722,-74.3096,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,2.1,40.6825,-74.16944,20160213,2016-02-13,0,0,0,21,24,7,NA,NA,19.7,280,280,36.9,46.1,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJUN0014,WESTFIELD 0.6 NE NJ US,36.3,40.6588,-74.3358,20160213,2016-02-13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYNS0007,FLORAL PARK 0.4 W NY US,24.1,40.723,-73.711,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJUN0010,NEW PROVIDENCE 0.8 ESE NJ US,113.1,40.6945,-74.3898,20160213,2016-02-13,0,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMD0039,EAST BRUNSWICK TWP 3.3 NNE NJ US,16.2,40.4739,-74.4,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJES0024,CEDAR GROVE TWP 0.4 W NJ US,108.5,40.8557,-74.2356,20160213,2016-02-13,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJBG0037,GLEN ROCK 0.4 WNW NJ US,27.1,40.9614,-74.1328,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJHD0002,KEARNY 1.7 NW NJ US,29,40.7729,-74.1409,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJHD0001,HARRISON 0.3 N NJ US,6.4,40.748,-74.1518,20160213,2016-02-13,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMS0059,MADISON 0.8 WSW NJ US,108.8,40.7524,-74.4297,20160213,2016-02-13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0012,LITTLE FALLS TWP 0.5 WNW NJ US,58.5,40.8796,-74.227,20160213,2016-02-13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYRC0002,STATEN ISLAND 1.4 SE NY US,21.9,40.5674,-74.1327,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJMS0011,BOONTON 0.6 NW NJ US,188.7,40.9096,-74.4141,20160213,2016-02-13,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYRC0001,STATEN ISLAND 4.5 SSE NY US,10.7,40.5421,-74.1476,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJPS0014,HAWTHORNE 1.0 SSE NJ US,18,40.9436,-74.1523,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYSF0041,EAST FARMINGDALE 0.9 W NY US,20.7,40.7279,-73.4341,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00094741,TETERBORO AIRPORT NJ US,2.7,40.85,-74.06139,20160213,2016-02-13,0,NA,NA,NA,23,6,NA,NA,15.2,310,310,30,45,1430,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NJES0018,MAPLEWOOD TWP 0.9 SE NJ US,72.5,40.7237,-74.2598,20160213,2016-02-13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:US1NYRL0005,WEST NYACK 1.3 WSW NY US,81.7,41.0835,-73.993,20160213,2016-02-13,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,115.5,41.06694,-73.7075,20160213,2016-02-13,0,NA,NA,NA,20,2,NA,NA,21.9,310,300,38.9,47,1350,NA,NA,NA,NA,NA,NA,NA
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.63861,-73.76222,20160213,2016-02-13,0,0,0,22,25,7,NA,NA,23,290,300,36.9,49,NA,NA,NA,NA,NA,NA,NA,NA
